soucre,destination,name_source
par_4_263,par_4_262,PINAR DE CHAMARTIN
par_4_262,par_4_261,BAMBU
par_4_261,par_4_1,CHAMARTIN
par_4_1,par_4_2,PLAZA DE CASTILLA
par_4_2,par_4_3,VALDEACEDERAS
par_4_3,par_4_4,TETUAN
par_4_4,par_4_5,ESTRECHO
par_4_5,par_4_6,ALVARADO
par_4_6,par_4_7,CUATRO CAMINOS
par_4_7,par_4_8,RIOS ROSAS
par_4_8,par_4_9,IGLESIA
par_4_9,par_4_10,BILBAO
par_4_10,par_4_11,TRIBUNAL
par_4_11,par_4_12,GRAN VIA
par_4_12,par_4_13,SOL
par_4_13,par_4_14,TIRSO DE MOLINA
par_4_14,par_4_15,ANTON MARTIN
par_4_15,par_4_16,ESTACION DEL ARTE
par_4_16,par_4_17,ATOCHA-RENFE
par_4_17,par_4_18,MENENDEZ PELAYO
par_4_18,par_4_19,PACIFICO
par_4_19,par_4_20,PUENTE DE VALLECAS
par_4_20,par_4_21,NUEVA NUMANCIA
par_4_21,par_4_22,PORTAZGO
par_4_22,par_4_23,BUENOS AIRES
par_4_23,par_4_24,ALTO DEL ARENAL
par_4_24,par_4_25,MIGUEL HERNANDEZ
par_4_25,par_4_26,SIERRA DE GUADALUPE
par_4_26,par_4_27,VILLA DE VALLECAS
par_4_27,par_4_293,CONGOSTO
par_4_293,par_4_294,LA GAVIA
par_4_294,par_4_295,LAS SUERTES
par_4_325,acc_4_323_1062,LAS ROSAS
acc_4_323_1062,par_4_323,Avenida de Guadalajara
par_4_323,par_4_322,ALSACIA
par_4_322,par_4_260,LA ALMUDENA
par_4_260,par_4_28,LA ELIPA
par_4_28,par_4_29,VENTAS
par_4_29,par_4_30,MANUEL BECERRA
par_4_30,par_4_31,GOYA
par_4_31,par_4_32,PRINCIPE DE VERGARA
par_4_32,par_4_33,RETIRO
par_4_33,par_4_34,BANCO DE ESPAÑA
par_4_34,par_4_12,SEVILLA
par_4_12,par_4_36,SOL
par_4_36,par_4_37,OPERA
par_4_37,par_4_38,SANTO DOMINGO
par_4_38,par_4_39,NOVICIADO
par_4_39,par_4_40,SAN BERNARDO
par_4_40,par_4_41,QUEVEDO
par_4_41,par_4_6,CANAL
par_4_273,par_4_272,VILLAVERDE ALTO
par_4_272,par_4_271,SAN CRISTOBAL
par_4_271,par_4_270,VILLAVERDE BAJO-CRUCE
par_4_270,par_4_269,CIUDAD DE LOS ANGELES
par_4_269,par_4_268,SAN FERMIN-ORCASUR
par_4_268,par_4_267,HOSPITAL 12 DE OCTUBRE
par_4_267,par_4_43,ALMENDRALES
par_4_43,par_4_44,LEGAZPI
par_4_44,par_4_45,DELICIAS
par_4_45,par_4_46,PALOS DE LA FRONTERA
par_4_46,par_4_47,EMBAJADORES
par_4_47,par_4_12,LAVAPIES
par_4_12,par_4_49,SOL
par_4_49,par_4_50,CALLAO
par_4_50,par_4_51,PLAZA DE ESPAÑA
par_4_51,par_4_52,VENTURA RODRIGUEZ
par_4_52,par_4_53,ARGÜELLES
par_4_52,par_4_39,ARGÜELLES
par_4_39,par_4_9,SAN BERNARDO
par_4_9,par_4_57,BILBAO
par_4_57,par_4_58,ALONSO MARTINEZ
par_4_58,par_4_59,COLON
par_4_59,par_4_60,SERRANO
par_4_60,par_4_30,VELAZQUEZ
par_4_30,par_4_62,GOYA
par_4_62,par_4_63,LISTA
par_4_63,par_4_64,DIEGO DE LEON
par_4_64,par_4_65,AVENIDA DE AMERICA
par_4_65,par_4_66,PROSPERIDAD
par_4_66,par_4_67,ALFONSO XIII
par_4_67,acc_4_263_645,AVENIDA DE LA PAZ
acc_4_263_645,par_4_69,Arturo Soria
par_4_69,par_4_70,ESPERANZA
par_4_70,par_4_71,CANILLAS
par_4_71,par_4_72,MAR DE CRISTAL
par_4_72,par_4_73,SAN LORENZO
par_4_73,par_4_264,PARQUE DE SANTA MARIA
par_4_264,par_4_265,HORTALEZA
par_4_265,par_4_263,MANOTERAS
par_4_252,par_4_253,ALAMEDA DE OSUNA
par_4_253,par_4_74,EL CAPRICHO
