PINAR DE CHAMARTIN,BAMBU,1
BAMBU,CHAMARTIN,1
CHAMARTIN,PLAZA DE CASTILLA,1
PLAZA DE CASTILLA,VALDEACEDERAS,1
VALDEACEDERAS,TETUAN,1
TETUAN,ESTRECHO,1
ESTRECHO,ALVARADO,1
ALVARADO,CUATRO CAMINOS,1
CUATRO CAMINOS,RIOS ROSAS,1
RIOS ROSAS,IGLESIA,1
IGLESIA,BILBAO,1
BILBAO,TRIBUNAL,1
TRIBUNAL,GRAN VIA,1
GRAN VIA,SOL,1
SOL,TIRSO DE MOLINA,1
TIRSO DE MOLINA,ANTON MARTIN,1
ANTON MARTIN,ESTACION DEL ARTE,1
ESTACION DEL ARTE,ATOCHA-RENFE,1
ATOCHA-RENFE,MENENDEZ PELAYO,1
MENENDEZ PELAYO,PACIFICO,1
PACIFICO,PUENTE DE VALLECAS,1
PUENTE DE VALLECAS,NUEVA NUMANCIA,1
NUEVA NUMANCIA,PORTAZGO,1
PORTAZGO,BUENOS AIRES,1
BUENOS AIRES,ALTO DEL ARENAL,1
ALTO DEL ARENAL,MIGUEL HERNANDEZ,1
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE,1
SIERRA DE GUADALUPE,VILLA DE VALLECAS,1
VILLA DE VALLECAS,CONGOSTO,1
CONGOSTO,LA GAVIA,1
LA GAVIA,LAS SUERTES,1
LAS SUERTES,VALDECARROS,1
LAS ROSAS,Avenida de Guadalajara,2
Avenida de Guadalajara,ALSACIA,2
ALSACIA,LA ALMUDENA,2
LA ALMUDENA,LA ELIPA,2
LA ELIPA,VENTAS,2
VENTAS,MANUEL BECERRA,2
MANUEL BECERRA,GOYA,2
GOYA,PRINCIPE DE VERGARA,2
PRINCIPE DE VERGARA,RETIRO,2
RETIRO,BANCO DE ESPAÑA,2
BANCO DE ESPAÑA,SEVILLA,2
SEVILLA,SOL,2
SOL,OPERA,2
OPERA,SANTO DOMINGO,2
SANTO DOMINGO,NOVICIADO,2
NOVICIADO,SAN BERNARDO,2
SAN BERNARDO,QUEVEDO,2
QUEVEDO,CANAL,2
CANAL,CUATRO CAMINOS,2
VILLAVERDE ALTO,SAN CRISTOBAL,3
SAN CRISTOBAL,VILLAVERDE BAJO-CRUCE,3
VILLAVERDE BAJO-CRUCE,CIUDAD DE LOS ANGELES,3
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,3
SAN FERMIN-ORCASUR,HOSPITAL 12 DE OCTUBRE,3
HOSPITAL 12 DE OCTUBRE,ALMENDRALES,3
ALMENDRALES,LEGAZPI,3
LEGAZPI,DELICIAS,3
DELICIAS,PALOS DE LA FRONTERA,3
PALOS DE LA FRONTERA,EMBAJADORES,3
EMBAJADORES,LAVAPIES,3
LAVAPIES,SOL,3
SOL,CALLAO,3
CALLAO,PLAZA DE ESPAÑA,3
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ,3
VENTURA RODRIGUEZ,ARGÜELLES,3
ARGÜELLES,MONCLOA,3
ARGÜELLES,SAN BERNARDO,4
SAN BERNARDO,BILBAO,4
BILBAO,ALONSO MARTINEZ,4
ALONSO MARTINEZ,COLON,4
COLON,SERRANO,4
SERRANO,VELAZQUEZ,4
VELAZQUEZ,GOYA,4
GOYA,LISTA,4
LISTA,DIEGO DE LEON,4
DIEGO DE LEON,AVENIDA DE AMERICA,4
AVENIDA DE AMERICA,PROSPERIDAD,4
PROSPERIDAD,ALFONSO XIII,4
ALFONSO XIII,AVENIDA DE LA PAZ,4
AVENIDA DE LA PAZ,Arturo Soria,4
Arturo Soria,ESPERANZA,4
ESPERANZA,CANILLAS,4
CANILLAS,MAR DE CRISTAL,4
MAR DE CRISTAL,SAN LORENZO,4
SAN LORENZO,PARQUE DE SANTA MARIA,4
PARQUE DE SANTA MARIA,HORTALEZA,4
HORTALEZA,MANOTERAS,4
MANOTERAS,PINAR DE CHAMARTIN,4
ALAMEDA DE OSUNA,EL CAPRICHO,5
EL CAPRICHO,CANILLEJAS,5
CANILLEJAS,TORRE ARIAS,5
TORRE ARIAS,SUANZES,5
SUANZES,CIUDAD LINEAL,5
CIUDAD LINEAL,PUEBLO NUEVO,5
PUEBLO NUEVO,QUINTANA,5
QUINTANA,EL CARMEN,5
EL CARMEN,VENTAS,5
VENTAS,DIEGO DE LEON,5
DIEGO DE LEON,NUÑEZ DE BALBOA,5
NUÑEZ DE BALBOA,RUBEN DARIO,5
RUBEN DARIO,ALONSO MARTINEZ,5
ALONSO MARTINEZ,CHUECA,5
CHUECA,GRAN VIA,5
GRAN VIA,CALLAO,5
CALLAO,OPERA,5
OPERA,LA LATINA,5
LA LATINA,PUERTA DE TOLEDO,5
PUERTA DE TOLEDO,ACACIAS,5
ACACIAS,PIRAMIDES,5
PIRAMIDES,MARQUES DE VADILLO,5
MARQUES DE VADILLO,URGEL,5
URGEL,OPORTO,5
OPORTO,VISTA ALEGRE,5
VISTA ALEGRE,CARABANCHEL,5
CARABANCHEL,EUGENIA DE MONTIJO,5
EUGENIA DE MONTIJO,ALUCHE,5
ALUCHE,EMPALME,5
EMPALME,CAMPAMENTO,5
CAMPAMENTO,CASA DE CAMPO,5
LAGUNA,CARPETANA,6
CARPETANA,OPORTO,6
OPORTO,OPAÑEL,6
OPAÑEL,PLAZA ELIPTICA,6
PLAZA ELIPTICA,USERA,6
USERA,LEGAZPI,6
LEGAZPI,ARGANZUELA-PLANETARIO,6
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,6
MENDEZ ALVARO,PACIFICO,6
PACIFICO,CONDE DE CASAL,6
CONDE DE CASAL,SAINZ DE BARANDA,6
SAINZ DE BARANDA,ODONNELL,6
ODONNELL,MANUEL BECERRA,6
MANUEL BECERRA,DIEGO DE LEON,6
DIEGO DE LEON,AVENIDA DE AMERICA,6
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,6
REPUBLICA ARGENTINA,NUEVOS MINISTERIOS,6
NUEVOS MINISTERIOS,CUATRO CAMINOS,6
CUATRO CAMINOS,Guzmán el Bueno,6
Guzmán el Bueno,VICENTE ALEIXANDRE,6
VICENTE ALEIXANDRE,CIUDAD UNIVERSITARIA,6
CIUDAD UNIVERSITARIA,MONCLOA,6
MONCLOA,ARGÜELLES,6
ARGÜELLES,PRINCIPE PIO,6
PRINCIPE PIO,PUERTA DEL ANGEL,6
PUERTA DEL ANGEL,ALTO DE EXTREMADURA,6
ALTO DE EXTREMADURA,LUCERO,6
LUCERO,LAGUNA,6
HOSPITAL DEL HENARES,HENARES,7
HENARES,JARAMA,7
JARAMA,SAN FERNANDO,7
SAN FERNANDO,LA RAMBLA,7
LA RAMBLA,COSLADA CENTRAL,7
COSLADA CENTRAL,BARRIO DEL PUERTO,7
BARRIO DEL PUERTO,ESTADIO METROPOLITANO,7
ESTADIO METROPOLITANO,LAS MUSAS,7
LAS MUSAS,SAN BLAS,7
SAN BLAS,SIMANCAS,7
SIMANCAS,GARCIA NOBLEJAS,7
GARCIA NOBLEJAS,ASCAO,7
ASCAO,PUEBLO NUEVO,7
PUEBLO NUEVO,BARRIO DE LA CONCEPCION,7
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,7
PARQUE DE LAS AVENIDAS,CARTAGENA,7
CARTAGENA,AVENIDA DE AMERICA,7
AVENIDA DE AMERICA,GREGORIO MARAÑON,7
GREGORIO MARAÑON,ALONSO CANO,7
ALONSO CANO,CANAL,7
CANAL,ISLAS FILIPINAS,7
ISLAS FILIPINAS,Guzmán el Bueno,7
Guzmán el Bueno,FRANCOS RODRIGUEZ,7
FRANCOS RODRIGUEZ,VALDEZARZA,7
VALDEZARZA,ANTONIO MACHADO,7
ANTONIO MACHADO,PEÑAGRANDE,7
PEÑAGRANDE,AVDA. DE LA ILUSTRACION,7
AVDA. DE LA ILUSTRACION,LACOMA,7
LACOMA,ARROYOFRESNO,7
ARROYOFRESNO,PITIS,7
NUEVOS MINISTERIOS,COLOMBIA,8
COLOMBIA,PINAR DEL REY,8
PINAR DEL REY,MAR DE CRISTAL,8
MAR DE CRISTAL,FERIA DE MADRID,8
FERIA DE MADRID,AEROPUERTO T1 T2 T3,8
AEROPUERTO T1 T2 T3,BARAJAS,8
BARAJAS,AEROPUERTO T4,8
PACO DE LUCIA,Mirasierra,9
Mirasierra,HERRERA ORIA,9
HERRERA ORIA,BARRIO DEL PILAR,9
BARRIO DEL PILAR,VENTILLA,9
VENTILLA,PLAZA DE CASTILLA,9
PLAZA DE CASTILLA,DUQUE DE PASTRANA,9
DUQUE DE PASTRANA,PIO XII,9
PIO XII,COLOMBIA,9
COLOMBIA,CONCHA ESPINA,9
CONCHA ESPINA,CRUZ DEL RAYO,9
CRUZ DEL RAYO,AVENIDA DE AMERICA,9
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,9
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,9
PRINCIPE DE VERGARA,IBIZA,9
IBIZA,SAINZ DE BARANDA,9
SAINZ DE BARANDA,ESTRELLA,9
ESTRELLA,VINATEROS,9
VINATEROS,ARTILLEROS,9
ARTILLEROS,PAVONES,9
PAVONES,VALDEBERNARDO,9
VALDEBERNARDO,VICALVARO,9
VICALVARO,SAN CIPRIANO,9
SAN CIPRIANO,PUERTA DE ARGANDA,9
PUERTA DE ARGANDA,RIVAS URBANIZACIONES,9
RIVAS URBANIZACIONES,RIVAS FUTURA,9
RIVAS FUTURA,RIVAS VACIAMADRID,9
RIVAS VACIAMADRID,LA POVEDA,9
LA POVEDA,ARGANDA DEL REY,9
HOSPITAL INFANTA SOFÍA,REYES CATOLICOS,10
REYES CATOLICOS,BAUNATAL,10
BAUNATAL,MANUEL DE FALLA,10
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,10
MARQUES DE LA VALDAVIA,LA MORALEJA,10
LA MORALEJA,LA GRANJA,10
LA GRANJA,RONDA DE LA COMUNICACION,10
RONDA DE LA COMUNICACION,LAS TABLAS,10
LAS TABLAS,MONTECARMELO,10
MONTECARMELO,TRES OLIVOS,10
TRES OLIVOS,Fuencarral,10
Fuencarral,BEGOÑA,10
BEGOÑA,CHAMARTIN,10
CHAMARTIN,PLAZA DE CASTILLA,10
PLAZA DE CASTILLA,CUZCO,10
CUZCO,SANTIAGO BERNABEU,10
SANTIAGO BERNABEU,NUEVOS MINISTERIOS,10
NUEVOS MINISTERIOS,GREGORIO MARAÑON,10
GREGORIO MARAÑON,ALONSO MARTINEZ,10
ALONSO MARTINEZ,TRIBUNAL,10
TRIBUNAL,PLAZA DE ESPAÑA,10
PLAZA DE ESPAÑA,PRINCIPE PIO,10
PRINCIPE PIO,LAGO,10
LAGO,BATAN,10
BATAN,CASA DE CAMPO,10
CASA DE CAMPO,COLONIA JARDIN,10
COLONIA JARDIN,AVIACION ESPAÑOLA,10
AVIACION ESPAÑOLA,CUATRO VIENTOS,10
CUATRO VIENTOS,JOAQUIN VILUMBRALES,10
JOAQUIN VILUMBRALES,PUERTA DEL SUR,10
PLAZA ELIPTICA,ABRANTES,11
ABRANTES,PAN BENDITO,11
PAN BENDITO,San Francisco,11
San Francisco,CARABANCHEL ALTO,11
CARABANCHEL ALTO,LA PESETA,11
LA PESETA,LA FORTUNA,11
PUERTA DEL SUR,PARQUE LISBOA,12
PARQUE LISBOA,ALCORCON CENTRAL,12
ALCORCON CENTRAL,PARQUE OESTE,12
PARQUE OESTE,UNIVERSIDAD REY JUAN CARLOS,12
UNIVERSIDAD REY JUAN CARLOS,MOSTOLES CENTRAL,12
MOSTOLES CENTRAL,PRADILLO,12
PRADILLO,HOSPITAL DE MOSTOLES,12
HOSPITAL DE MOSTOLES,Manuela Malasaña,12
Manuela Malasaña,LORANCA,12
LORANCA,HOSPITAL DE FUENLABRADA,12
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,12
PARQUE EUROPA,FUENLABRADA CENTRAL,12
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,12
PARQUE DE LOS ESTADOS,ARROYO CULEBRO,12
ARROYO CULEBRO,CONSERVATORIO,12
CONSERVATORIO,ALONSO DE MENDOZA,12
ALONSO DE MENDOZA,GETAFE CENTRAL,12
GETAFE CENTRAL,JUAN DE LA CIERVA,12
JUAN DE LA CIERVA,EL CASAR,12
EL CASAR,LOS ESPARTALES,12
LOS ESPARTALES,EL BERCIAL,12
EL BERCIAL,EL CARRASCAL,12
EL CARRASCAL,JULIAN BESTEIRO,12
JULIAN BESTEIRO,CASA DEL RELOJ,12
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,12
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,12
LEGANES CENTRAL,SAN NICASIO,12
SAN NICASIO,PUERTA DEL SUR,12
OPERA,PRINCIPE PIO,R
