PINAR DE CHAMARTIN,BAMBU
BAMBU,CHAMARTIN
CHAMARTIN,PLAZA DE CASTILLA
PLAZA DE CASTILLA,VALDEACEDERAS
VALDEACEDERAS,TETUAN
TETUAN,ESTRECHO
ESTRECHO,ALVARADO
ALVARADO,CUATRO CAMINOS
CUATRO CAMINOS,RIOS ROSAS
RIOS ROSAS,IGLESIA
IGLESIA,BILBAO
BILBAO,TRIBUNAL
TRIBUNAL,GRAN VIA
GRAN VIA,SOL
SOL,TIRSO DE MOLINA
TIRSO DE MOLINA,ANTON MARTIN
ANTON MARTIN,ESTACION DEL ARTE
ESTACION DEL ARTE,ATOCHA-RENFE
ATOCHA-RENFE,MENENDEZ PELAYO
MENENDEZ PELAYO,PACIFICO
PACIFICO,PUENTE DE VALLECAS
PUENTE DE VALLECAS,NUEVA NUMANCIA
NUEVA NUMANCIA,PORTAZGO
PORTAZGO,BUENOS AIRES
BUENOS AIRES,ALTO DEL ARENAL
ALTO DEL ARENAL,MIGUEL HERNANDEZ
MIGUEL HERNANDEZ,SIERRA DE GUADALUPE
SIERRA DE GUADALUPE,VILLA DE VALLECAS
VILLA DE VALLECAS,CONGOSTO
CONGOSTO,LA GAVIA
LA GAVIA,LAS SUERTES
LAS SUERTES,VALDECARROS
LAS ROSAS,Avenida de Guadalajara
Avenida de Guadalajara,ALSACIA
ALSACIA,LA ALMUDENA
LA ALMUDENA,LA ELIPA
LA ELIPA,VENTAS
VENTAS,MANUEL BECERRA
MANUEL BECERRA,GOYA
GOYA,PRINCIPE DE VERGARA
PRINCIPE DE VERGARA,RETIRO
RETIRO,BANCO DE ESPAÑA
BANCO DE ESPAÑA,SEVILLA
SEVILLA,SOL
SOL,OPERA
OPERA,SANTO DOMINGO
SANTO DOMINGO,NOVICIADO
NOVICIADO,SAN BERNARDO
SAN BERNARDO,QUEVEDO
QUEVEDO,CANAL
CANAL,CUATRO CAMINOS
VILLAVERDE ALTO,SAN CRISTOBAL
SAN CRISTOBAL,VILLAVERDE BAJO-CRUCE
VILLAVERDE BAJO-CRUCE,CIUDAD DE LOS ANGELES
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR
SAN FERMIN-ORCASUR,HOSPITAL 12 DE OCTUBRE
HOSPITAL 12 DE OCTUBRE,ALMENDRALES
ALMENDRALES,LEGAZPI
LEGAZPI,DELICIAS
DELICIAS,PALOS DE LA FRONTERA
PALOS DE LA FRONTERA,EMBAJADORES
EMBAJADORES,LAVAPIES
LAVAPIES,SOL
SOL,CALLAO
CALLAO,PLAZA DE ESPAÑA
PLAZA DE ESPAÑA,VENTURA RODRIGUEZ
VENTURA RODRIGUEZ,ARGÜELLES
ARGÜELLES,MONCLOA
ARGÜELLES,SAN BERNARDO
SAN BERNARDO,BILBAO
BILBAO,ALONSO MARTINEZ
ALONSO MARTINEZ,COLON
COLON,SERRANO
SERRANO,VELAZQUEZ
VELAZQUEZ,GOYA
GOYA,LISTA
LISTA,DIEGO DE LEON
DIEGO DE LEON,AVENIDA DE AMERICA
AVENIDA DE AMERICA,PROSPERIDAD
PROSPERIDAD,ALFONSO XIII
ALFONSO XIII,AVENIDA DE LA PAZ
AVENIDA DE LA PAZ,Arturo Soria
Arturo Soria,ESPERANZA
ESPERANZA,CANILLAS
CANILLAS,MAR DE CRISTAL
MAR DE CRISTAL,SAN LORENZO
SAN LORENZO,PARQUE DE SANTA MARIA
PARQUE DE SANTA MARIA,HORTALEZA
HORTALEZA,MANOTERAS
MANOTERAS,PINAR DE CHAMARTIN
ALAMEDA DE OSUNA,EL CAPRICHO
EL CAPRICHO,CANILLEJAS
CANILLEJAS,TORRE ARIAS
TORRE ARIAS,SUANZES
